Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;JUAZEIRO DO NORTE;COMÉRCIO DE PETROLEO COLORADO LTDA; 00.198.451/0001-85;RUA   DOMINGOS CALAZANS;518;;TRIANGULO;63041-130;GLP;01/11/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;01/11/2022;102,99;;R$ / 13 kg;ULTRAGAZ
CO;GO;ANAPOLIS;LESSA GUIMARAES DERIVADOS DE PETROLEO LTDA; 04.792.468/0001-17;AVENIDA FERNANDO COSTA;828;;VILA JAIARA;75064-780;GLP;01/11/2022;115;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GLP;01/11/2022;115;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;GLP;01/11/2022;114,9;;R$ / 13 kg;LIQUIGÁS
NE;PE;RECIFE;A.B. SILVA & CIA LTDA; 10.973.568/0001-42;AVENIDA BEBERIBE;1021;LOJA 0000;PONTO DE PARADA;52041-375;GLP;01/11/2022;119;;R$ / 13 kg;BRANCA
NE;PE;RECIFE;SIVINI PETROLEO LTDA; 02.998.548/0001-06;AVENIDA BEBERIBE;3433;;PORTO  DA  MADEIRA;52130-000;GLP;01/11/2022;110;;R$ / 13 kg;BRANCA
NE;PI;TERESINA;POSTO CHE LTDA; 03.309.795/0001-02;AVENIDA CELSO PINHEIRO;2710;;TRES ANDARES;64015-310;GLP;01/11/2022;109;;R$ / 13 kg;LIQUIGÁS
N;RR;BOA VISTA;A P FACCIO; 03.611.874/0001-73;AVENIDA BRASIL;1228;QUADRA 74;CINTURAO VERDE;69312-450;GLP;01/11/2022;125;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;RORAIPETRO RORAIMA PETROLEO LTDA; 00.581.612/0002-04;AVENIDA GENERAL ATAIDE TEIVE;4412;;CAIMBE;69312-218;GLP;01/11/2022;125;;R$ / 13 kg;FOGAS
NE;CE;FORTALEZA;CHAC COMERCIAL DE COMBUSTIVEIS LTDA; 07.122.559/0001-33;AVENIDA PRESIDENTE COSTA E SILVA;2721;;PARQUE DOIS IRMAOS;60761-191;GLP;01/11/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;FORTALEZA;M. MADALENA DISTRIBUIDORA DE COMBUSTIVEL LTDA; 04.934.167/0001-80;AV.GODOFREDO MACIEL;6380;;MONDUBIM;60762-120;GLP;01/11/2022;108,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;BRAGANCA PAULISTA;EUROPA EMPREENDIMENTOS LTDA.; 67.964.429/0002-50;RUA CEL. LEME;499;;CENTRO;12900-340;GLP;01/11/2022;109,9;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;BRAGANCA PAULISTA;AUTO POSTO 42 LTDA; 04.060.789/0001-27;RODOVIA ALKINDAR MONTEIRO JUNQUEIRA;800;;BIRICA DO CAMPO NOVO;12900-005;GLP;01/11/2022;110;;R$ / 13 kg;LIQUIGÁS
NE;AL;MACEIO;BAHIANA DISTRIBUIDORA DE GÁS LTDA; 46.395.687/0038-02;AVENIDA DURVAL DE GOES MONTEIRO;3091;;TABULEIRO DO MARTINS;57061-000;GLP;01/11/2022;115;;R$ / 13 kg;BAHIANA
NE;AL;MACEIO;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA; 06.980.064/0010-73;AV. DURVAL DE GOES MONTEIRO;1801;;TABULEI.DOS MARTINS;57061-000;GLP;01/11/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;FORTALEZA;M J COMERCIO VAREJISTA DE GLP LTDA; 00.275.946/0001-60;RUA NESTOR BARBOSA;774;;PARQUELANDIA;60455-610;GLP;01/11/2022;117;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;CONTAGEM;JOSE BRAZ DIAS; 00.405.568/0001-92;RUA PASSOS;468;;SANTA HELENA;32015-030;GLP;01/11/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;ANAPOLIS;ALVES DA SILVA E VIEIRA LTDA.; 00.514.407/0001-37;AVENIDA DAS ROSAS;70;;JARDIM ALEXANDRINA;75060-430;GLP;01/11/2022;115;;R$ / 13 kg;BRANCA
S;RS;PELOTAS;COMERCIAL DE GAS PELOTENSE EIRELI; 01.217.601/0001-13;RUA MARCILIO DIAS;2774;;CENTRO;96020-480;GLP;01/11/2022;108;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;BELO HORIZONTE;LILICO GAS LTDA; 01.582.488/0001-75;RUA BELMIRO BRAGA;740;;CAICARA ADELAIDE;30720-520;GLP;01/11/2022;127;;R$ / 13 kg;ULTRAGAZ
NE;PE;RECIFE;RIT COMERCIO DE GAS GLP LTDA; 01.949.949/0004-48;RUA JERONIMO VILELA;773;;CAMPO GRANDE;52040-180;GLP;01/11/2022;95;;R$ / 13 kg;LIQUIGÁS
CO;DF;BRASILIA;FRANPESO COMERCIO DE GLP LTDA ME; 01.993.515/0001-00;ACESSO D E/SUL - CONJUNTO 12;S/N;LOTE 07;SAMAMBAIA;72314-712;GLP;01/11/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;CONTAGEM;JODGAS LTDA; 02.101.367/0001-27;RUA RIO SENEGAL;63;;NOVO RIACHO;32280-330;GLP;01/11/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;APUCARANA;PAULO GAS COMERCIO DE GAS LTDA; 02.381.957/0001-50;RUA   CHILE;43;;JARDIM DIAMANTINA;86804-090;GLP;01/11/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
