Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PE;JABOATAO DOS GUARARAPES;POSTO JARDIM PIEDADE LTDA; 06.251.430/0001-62;RUA SAO SEBASTIAO;791;;PIEDADE;54410-500;GLP;01/12/2022;100;;R$ / 13 kg;MINASGAS
S;PR;ARAUCARIA;AUTO POSTO FIALLA LTDA; 78.951.779/0001-18;AVENIDA ARCHELAU DE ALMEIDA TORRES;925;;CENTRO;83702-185;GLP;01/12/2022;125;;R$ / 13 kg;LIQUIGÁS
S;RS;CAXIAS DO SUL;CAPOANI E RECH COMERCIO DE COMBUSTIVEIS LTDA.; 07.985.128/0001-09;RUA CONDE D'EU;1962;;BELA VISTA;95076-090;GLP;01/12/2022;109,9;;R$ / 13 kg;BRANCA
S;RS;CAXIAS DO SUL;AUTO POSTO CRUZEIRO LTDA; 87.012.134/0001-00;RUA LUIZ MICHIELON;1019;;CRUZEIRO;95074-000;GLP;01/12/2022;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;CAXIAS DO SUL;SQUIZZATO COMERCIO DE COMBUSTIVEIS LTDA; 00.547.721/0001-16;RUA ALEXANDRE RIZZO;877;;DESVIO RIZZO;95110-000;GLP;01/12/2022;114;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;SE;ARACAJU;REDE DE POSTOS PRESIDENTE LTDA; 32.864.795/0001-72;AVENIDA COELHO E CAMPOS;1254;;SANTO ANTONIO;49060-000;GLP;01/12/2022;104,9;;R$ / 13 kg;LIQUIGÁS
CO;GO;LUZIANIA;AUTO POSTO G - 3 LTDA; 07.174.179/0001-42;AVENIDA ALFREDO NASSER;SN;QUADRA176                 LOTE  01;PARQUE ESTRELA DALVA II;72820-020;GLP;01/12/2022;115;;R$ / 13 kg;LIQUIGÁS
N;PA;SANTAREM;AUTO POSTO SAO JOAO COMERCIO DE COMBUSTIVEIS LTDA; 03.452.123/0001-51;RODOVIA SANTAREM CUIABÁ;S/N;KM 23;TABOCAL;68030-000;GLP;01/12/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ITAPIRA;AUTO POSTO SKINA ITALIANOS LTDA.; 07.426.223/0001-64;AVENIDA DOS ITALIANOS;1840;;PRADOS;13970-080;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
NE;SE;ARACAJU;BAHIANA DISTRIBUIDORA DE GÁS LTDA; 46.395.687/0015-08;AVENIDA CHANCELER OSVALDO ARANHA;2966;LOTE 02;OLARIA;49090-000;GLP;01/12/2022;104,9;;R$ / 13 kg;BAHIANA
CO;MS;CAMPO GRANDE;LIQUIGÁS DISTRIBUIDORA S.A.; 60.886.413/0126-68;RUA 127;376;QD.129 LT.OX2A;VILA POPULAR;79103-830;GLP;01/12/2022;110;;R$ / 13 kg;LIQUIGÁS
NE;CE;CRATO;COMÉRCIO DE PETROLEO COLORADO LTDA; 00.198.451/0002-66;TRAVESSA IGUATU;180;;SÃO MIGUEL;63122-250;GLP;01/12/2022;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;INDAIATUBA;B.B.C.COMERCIO DE GAS LTDA; 00.028.807/0001-32;AVENIDA CONCEICAO;2276;;CIDADE NOVA;13334-345;GLP;01/12/2022;112;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;UBERABA;FLAMAGAS LTDA; 00.414.683/0001-23;RUA ESTRELA DO SUL;514;;NOSSA SENHORA DA ABADIA;38026-380;GLP;01/12/2022;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;GOIANIA;FONSECA MARTINS COMERCIO DE GAS - EIRELI; 00.961.053/0001-79;AVENIDA PASTEUR;S/N;QUADRA144                 LOTE  02;PARQUE ANHANGUERA II;74340-570;GLP;01/12/2022;120;;R$ / 13 kg;LIQUIGÁS
S;PR;ARAPONGAS;RONAL- GÁS- COMÉRCIO DE GÁS LTDA ME; 01.104.040/0001-46;RUA   TIE-CASTANHO;481;;JARDIM SAN RAFAEL II;86703-520;GLP;01/12/2022;108;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SAO PAULO;DAVID MANUEL  BRAZ; 01.151.195/0001-33;RUA BARAO DE MONTE SANTO;103;A;MOOCA;03123-020;GLP;01/12/2022;124,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;JUNDIAI;MVIC COMERCIO DE GAS LTDA; 01.337.428/0001-97;AVENIDA ADELINO MARTINS;1360;;JD TULIPAS;13212-600;GLP;01/12/2022;114,9;;R$ / 13 kg;ULTRAGAZ
CO;GO;GOIANIA;IVONIR ANTONIO SILVA - ME; 01.698.834/0001-85;RUA B-19;57;QUADRA 30   LOTE  08;SETOR  NOVO  HORIZONTE;74000-000;GLP;01/12/2022;120;;R$ / 13 kg;BRANCA
CO;GO;ITUMBIARA;SEVERINO PAZ DE LIRA; 01.770.932/0001-86;RUA LEOPOLDO BULHOES;1330;;SANTOS DUMONT;75503-970;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;SP;CARAPICUIBA;ASARIAS DUQUE DE ABRANTES; 01.888.929/0001-61;AVENIDA MARGINAL DO RIBEIRAO;2100;;JD:CECILIA CRISTINA;06329-140;GLP;01/12/2022;104;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;RECIFE;RIT COMERCIO DE GAS GLP LTDA; 01.949.949/0004-48;RUA JERONIMO VILELA;773;;CAMPO GRANDE;52040-180;GLP;01/12/2022;99,99;;R$ / 13 kg;LIQUIGÁS
NE;PE;JABOATAO DOS GUARARAPES;RENY CARVALHO SAMPAIO - ME; 02.132.167/0001-31;RUA SEBASTIÃO ALVES;45;;PIEDADE;54400-270;GLP;01/12/2022;100;;R$ / 13 kg;LIQUIGÁS
SE;SP;AMPARO;UNILAR COMÉRCIO DE GÁS LTDA. ME; 02.324.870/0001-41;RUA NORUEGA;263;;LOTEAMENTO NARDINI;13905-060;GLP;01/12/2022;117;;R$ / 13 kg;ULTRAGAZ
S;PR;ARAPONGAS;ROMA-GAS COMERCIO DE GAS LTDA; 02.432.446/0001-10;RUA BIGUATINGA;55;;JARDIM PRIMAVERA;86702-430;GLP;01/12/2022;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;MOGI MIRIM;JOSE ANTONIO MAIOLLO - ME; 03.158.462/0001-20;AAVENIDA LUIZ GONZAGA DE ALMEIDA CAMPOS;421;;JD.BIANCHI;13801-349;GLP;01/12/2022;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;UBERABA;LUIZ ANTÔNIO DE OLIVEIRA FRANCO; 03.181.095/0001-85;AVENIDA PADRE EDDIE BERNARDES DA SILVA;676;;DE LOURDES;38035-230;GLP;01/12/2022;105;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;MAREL COMÉRCIO DE GÁS LTDA.; 03.296.479/0001-43;PRAÇA ANDRÉ MACIEL;1;B;MOOCA;03181-090;GLP;01/12/2022;122,9;;R$ / 13 kg;ULTRAGAZ
SE;SP;CAMPINAS;FORTGÁS LTDA.; 03.455.914/0001-35;RUA PRESIDENTE JUSCELINO;200;LOTEAMENTO JD. IPIRANGA;JD. CAMPOS ELISEOS;13060-858;GLP;01/12/2022;110;;R$ / 13 kg;LIQUIGÁS
CO;GO;GOIANIA;DEPOSITO DE GAS E AGUA MINERAL SOUSA LTDA ME; 03.721.607/0001-59;RUA ORQUIDEAS;1503;Qd.102-B Lote 06;PARQUE OESTE INDUSTRIAL;74375-210;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
S;RS;GRAMADO;R. BAZEI & CIA LTDA; 03.753.625/0001-12;AV BORGES DE MEDEIROS;3774;;CENTRO;95670-000;GLP;01/12/2022;122;;R$ / 13 kg;LIQUIGÁS
SE;SP;JUNDIAI;COMERCIAL FRANCIS GAS LTDA; 03.919.793/0001-35;RUA DOUTOR ANTENOR SOARES GANDRA;516;;JARDIM PACAEMBU;13218-335;GLP;01/12/2022;95;;R$ / 13 kg;ULTRAGAZ
CO;GO;GOIANIA;ELDORADO GÁS LTDA - ME; 03.989.711/0001-29;AVENIDA   MAURICIO GOMES RIBEIRO;1094;QUADRA 21-A LOTE 02;VILA NOVO HORIZONTE;74363-800;GLP;01/12/2022;110;;R$ / 13 kg;LIQUIGÁS
NE;PE;RECIFE;JOSE EDSON MESQUITA DA SILVA ME; 04.018.229/0001-04;AVENIDA PROFESSOR JOSE DOS ANJOS;246;;ARRUDA;52120-100;GLP;01/12/2022;100;;R$ / 13 kg;BRANCA
CO;GO;GOIANIA;BELIZARIO & FARIA LTDA; 04.207.934/0001-50;RUA LUIZ DE MATOS;447;QD.195 LT.02;SETOR SUDOESTE;74303-010;GLP;01/12/2022;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;AMPARO;DISTRIBUIDORA DE GAS CARAJAS LTDA ME; 04.226.772/0001-05;AVENIDA ULDERICO BATONI;277;;JARDIM SÃO DIMAS;13905-610;GLP;01/12/2022;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;UBERABA;ILDA TASCA - ME; 04.273.502/0001-47;RUA ALUMINIO;105;;LEBLON;38001-970;GLP;01/12/2022;120;;R$ / 13 kg;BRANCA
SE;SP;MIRASSOL;AGNALDO DE ABREU BATISTA; 04.645.641/0001-54;RUA 7 DE SETEMBRO;1666;;CENTRO;15130-001;GLP;01/12/2022;99;;R$ / 13 kg;BRANCA
CO;GO;ITUMBIARA;ALVES SILVA COMERCIO DE GAS LTDA; 04.810.455/0001-23;RUA 17;941;;SETOR SANTOS DUMONT;75503-972;GLP;01/12/2022;118;;R$ / 13 kg;BRANCA
SE;MG;NOVA LIMA;GASBOM - COMERCIO DE GAS LIQUEFEITO LTDA; 05.016.096/0001-08;RUA KENTON;131;;JARDIM CANADA;34000-001;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;MG;UBERABA;JOSÉ ERNANI DE OLIVEIRA; 05.036.986/0001-73;AVENIDA DJALMA CASTRO ALVES;1876;;AMOROSO COSTA;38072-510;GLP;01/12/2022;98,99;;R$ / 13 kg;BRANCA
SE;SP;ITAPIRA;SUPER CHAMA COMERCIO DE GÁS LTDA - ME; 05.232.642/0001-30;RUA MANOEL LUIZ DA ROCHA;68;;VL PENHA RIO DO PEIXE;13971-014;GLP;01/12/2022;102;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;CASTANHAL;REVENDEDORA DIGAS LTDA; 05.350.780/0001-13;AVENIDA MAXIMINO PORPINO;1151;;CENTRO;68742-005;GLP;01/12/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;SALVADOR;COMERCIAL LIELMA LTDA; 05.416.135/0001-56;AVENIDA EDGAR SANTOS;1801;A;SABOEIRO;41180-000;GLP;01/12/2022;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;GO;GOIANIA;DISTRIBUIDORA DE GAZ EUROPA LTDA.; 37.273.539/0001-24;AVENIDA ITÁLIA;1973;QD. 109 LOTE 25;JARDIM EUROPA;74325-110;GLP;01/12/2022;105;;R$ / 13 kg;ULTRAGAZ
NE;PE;RECIFE;IRMAOS SIVINI LTDA; 41.094.087/0001-90;AVENIDA BEBERIBE;2431;;FUNDAO;52130-135;GLP;01/12/2022;100;;R$ / 13 kg;MINASGAS
SE;MG;UBERABA;FERAGAS LTDA.; 42.984.989/0004-08;RUA REINALDO POARETO;572;;CONJUNTO UBERABA I;38073-151;GLP;01/12/2022;105;;R$ / 13 kg;BRANCA
SE;MG;UBERABA;FERAGAS LTDA.; 42.984.989/0001-65;RUA ALVINA MORAES LEAL;143;;PARQUE GAMELEIRA;38037-400;GLP;01/12/2022;110;;R$ / 13 kg;BRANCA
SE;MG;UBERABA;FERAGAS LTDA.; 42.984.989/0002-46;R. RODOLFO LIRIO;427;;NSA. SRA. ABADIA;38025-500;GLP;01/12/2022;105;;R$ / 13 kg;BRANCA
